Question,<EndOfPreviousCellColumn>,Difficulty,<EndOfPreviousCellColumn>,Correct Answer,<EndOfPreviousCellColumn>,Wrong answer 1,<EndOfPreviousCellColumn>,Wrong answer 2,<EndOfPreviousCellColumn>,Wrong answer 3
What is polymorphism?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,Polymorphism is the ability of an object to take on many forms.,<EndOfPreviousCellColumn>,Polymorphism is a technique to define different objects of same type.,<EndOfPreviousCellColumn>,Polymorphism is a technique to define different methods of same type.,<EndOfPreviousCellColumn>,None of the above.
What is an applet?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,An applet is a Java program that runs in a Web browser.,<EndOfPreviousCellColumn>,Applet is a standalone java program.,<EndOfPreviousCellColumn>,Applet is a tool.,<EndOfPreviousCellColumn>,Applet is a run time environment.
When static binding occurs?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,Static binding occurs during Compile time.,<EndOfPreviousCellColumn>,Static binding occurs during load time.,<EndOfPreviousCellColumn>,Static binding occurs during runtime.,<EndOfPreviousCellColumn>,None of the above.
Which of the following is false about String?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,String is a primary data type.,<EndOfPreviousCellColumn>,String can be created using new operator.,<EndOfPreviousCellColumn>,String is immutable.,<EndOfPreviousCellColumn>,None of the above.
Which of the following is true about super class?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,All of the above.,<EndOfPreviousCellColumn>,"Variables, methods and constructors which are declared public in the superclass can be accessed by any class.",<EndOfPreviousCellColumn>,"Variables, methods and constructors which are declared protected can be accessed by any subclass of the super class.",<EndOfPreviousCellColumn>,"Variables, methods and constructors which are declared private can be accessed only by the members of the super class."
What is the name of the process by which two or more strings are joined together?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,Concatenation,<EndOfPreviousCellColumn>,charAt,<EndOfPreviousCellColumn>,Association,<EndOfPreviousCellColumn>,Method
Which interface should be used by a Java program to be able to play audio files?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,AudioClip,<EndOfPreviousCellColumn>,TextListener,<EndOfPreviousCellColumn>,WindowListener,<EndOfPreviousCellColumn>,ActionListener
"What will be the output of this code? \n String aString = ""Crayons are great!""; \n System.out.print(aString.charAt(8))",<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,a,<EndOfPreviousCellColumn>,s,<EndOfPreviousCellColumn>,n,<EndOfPreviousCellColumn>,r
Which method is used in every Java program?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,main(),<EndOfPreviousCellColumn>,System.out.println(),<EndOfPreviousCellColumn>,System.out.print(),<EndOfPreviousCellColumn>,type()
What is the difference between a try-catch block and a try-catch-finally block?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,"try-catch contains code to execute if an error occurs or not, while try-catch-finally works the same way as try-catch block with the addition of a set of code that will execute whether an error occurs or not.",<EndOfPreviousCellColumn>,"try-catch contains code to execute only if an error occurs, try-catch-finally contains code to execute whether an occurs or not",<EndOfPreviousCellColumn>,"try-catch contains code to execute whether an occurs or not, try-catch-finally contains code to execute only if an error occurs",<EndOfPreviousCellColumn>,"Same thing, different names"
Which loop type would you use to repeat a task a set number of times?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,for,<EndOfPreviousCellColumn>,while ,<EndOfPreviousCellColumn>,switch,<EndOfPreviousCellColumn>,do-while
Which package needs to be imported so that you can accept user input?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,java.io,<EndOfPreviousCellColumn>,java.awt,<EndOfPreviousCellColumn>,java.util,<EndOfPreviousCellColumn>,java.awt.event
Which of the following snippets of code can be used to instantiate an object?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,Class A = new AClass();,<EndOfPreviousCellColumn>,AClass.create();,<EndOfPreviousCellColumn>,AClass.instantiate();,<EndOfPreviousCellColumn>,AClass.newClass()
Which of the following can be used to access the first element of an array named arrOne?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,arrOne[0],<EndOfPreviousCellColumn>,arrOne[3],<EndOfPreviousCellColumn>,arrOne[1],<EndOfPreviousCellColumn>,arrOne[2]
Which keyword would you use if you wanted a class to use an interface?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,implements,<EndOfPreviousCellColumn>,new,<EndOfPreviousCellColumn>,extends,<EndOfPreviousCellColumn>,main()
Which layout class would you use to lay out components from left to right?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,FlowLayout,<EndOfPreviousCellColumn>,SpacedLayout,<EndOfPreviousCellColumn>,GridLayout,<EndOfPreviousCellColumn>,DirLayout
What kind of data will this variable store - char fName;,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,A single character,<EndOfPreviousCellColumn>,Text string,<EndOfPreviousCellColumn>,Numeric,<EndOfPreviousCellColumn>,true/false value
Which of the following GUI components can be included in a Java frame?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,"textbox, label, button, images",<EndOfPreviousCellColumn>,button,<EndOfPreviousCellColumn>,label,<EndOfPreviousCellColumn>,textbox
What is the purpose of a class constructor?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,To make objects initially have certain values when they are instantiated,<EndOfPreviousCellColumn>,To extend a class,<EndOfPreviousCellColumn>,To pass values to methods for a class,<EndOfPreviousCellColumn>,To instantiate an object
What is it called when an instance of a class is also an instance of its superclass?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,Polymorphism,<EndOfPreviousCellColumn>,Encapsulation,<EndOfPreviousCellColumn>,Inheritance,<EndOfPreviousCellColumn>,Instantiation
This code - double randNumber = (int) (Math.random() * 40 + 20); will generate a random number between what range?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,20-40,<EndOfPreviousCellColumn>,0-60,<EndOfPreviousCellColumn>,0-40,<EndOfPreviousCellColumn>,20-60
Which Java exception should be used to handle input/output errors?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,IOException,<EndOfPreviousCellColumn>,NoSuchMethodException,<EndOfPreviousCellColumn>,InputException,<EndOfPreviousCellColumn>,ArithmeticException
Which package is imported by default into Java programs?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,java.lang,<EndOfPreviousCellColumn>,java.io,<EndOfPreviousCellColumn>,java.awt,<EndOfPreviousCellColumn>,java.awt.font
Which HTML tag can be used to place applets on a webpage?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,< applet >,<EndOfPreviousCellColumn>,< body >,<EndOfPreviousCellColumn>,< form >,<EndOfPreviousCellColumn>,< meta >
Which keyword would you use to break out of a loop?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,break,<EndOfPreviousCellColumn>,for ,<EndOfPreviousCellColumn>,while,<EndOfPreviousCellColumn>,continue
Which of the following would you use to test a variable for five different values?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,switch statement,<EndOfPreviousCellColumn>,else statement,<EndOfPreviousCellColumn>,else-if statement,<EndOfPreviousCellColumn>,if statement
Which interface would you use to handle the event of a user clicking inside a textbox?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,FocusListener,<EndOfPreviousCellColumn>,WindowListener,<EndOfPreviousCellColumn>,KeyListener,<EndOfPreviousCellColumn>,ActionListener
Which interface should be used by a Java program to be able to play audio files?,<EndOfPreviousCellColumn>,Hard,<EndOfPreviousCellColumn>,AudioClip,<EndOfPreviousCellColumn>,TextListener,<EndOfPreviousCellColumn>,WindowListener,<EndOfPreviousCellColumn>,ActionListener
